template,sentence
complex,"Although it was late, a use didn’t reach any life."
simple,A line didn’t own any use.
rel_clause,The line that David saw didn’t own any use.
adv_clause,"After the incident, a line didn’t own any use."
complex,"Although it was late, a line didn’t own any use."
simple,A set didn’t teach any band.
rel_clause,The set that Sarah saw didn’t teach any band.
adv_clause,"After the incident, a set didn’t teach any band."
complex,"Although it was late, a set didn’t teach any band."
simple,A district didn’t face any service.
rel_clause,The district that Alex saw didn’t face any service.
adv_clause,"After the incident, a district didn’t face any service."
complex,"Although it was late, a district didn’t face any service."
simple,A court didn’t remove any point.
rel_clause,The court that Mary saw didn’t remove any point.
adv_clause,"After the incident, a court didn’t remove any point."
complex,"Although it was late, a court didn’t remove any point."
simple,A side didn’t create any room.
rel_clause,The side that Sarah saw didn’t create any room.
adv_clause,"After the incident, a side didn’t create any room."
complex,"Although it was late, a side didn’t create any room."
simple,A team didn’t complete any town.
rel_clause,The team that Mary saw didn’t complete any town.
adv_clause,"After the incident, a team didn’t complete any town."
complex,"Although it was late, a team didn’t complete any town."
simple,A road didn’t kill any arm.
rel_clause,The road that David saw didn’t kill any arm.
adv_clause,"After the incident, a road didn’t kill any arm."
complex,"Although it was late, a road didn’t kill any arm."
simple,A door didn’t keep any society.
rel_clause,The door that Alex saw didn’t keep any society.
adv_clause,"After the incident, a door didn’t keep any society."
complex,"Although it was late, a door didn’t keep any society."
simple,A brother didn’t pick any death.
rel_clause,The brother that John saw didn’t pick any death.
adv_clause,"After the incident, a brother didn’t pick any death."
complex,"Although it was late, a brother didn’t pick any death."
simple,A man didn’t establish any face.
rel_clause,The man that Alex saw didn’t establish any face.
adv_clause,"After the incident, a man didn’t establish any face."
complex,"Although it was late, a man didn’t establish any face."
simple,A century didn’t earn any set.
rel_clause,The century that David saw didn’t earn any set.
adv_clause,"After the incident, a century didn’t earn any set."
complex,"Although it was late, a century didn’t earn any set."
simple,A area didn’t host any death.
rel_clause,The area that David saw didn’t host any death.
adv_clause,"After the incident, a area didn’t host any death."
complex,"Although it was late, a area didn’t host any death."
simple,A site didn’t handle any mother.
rel_clause,The site that Sarah saw didn’t handle any mother.
adv_clause,"After the incident, a site didn’t handle any mother."
complex,"Although it was late, a site didn’t handle any mother."
simple,A life didn’t raise any university.
rel_clause,The life that Alex saw didn’t raise any university.
adv_clause,"After the incident, a life didn’t raise any university."
complex,"Although it was late, a life didn’t raise any university."
simple,A union didn’t paint any football.
rel_clause,The union that David saw didn’t paint any football.
adv_clause,"After the incident, a union didn’t paint any football."
complex,"Although it was late, a union didn’t paint any football."
simple,A rock didn’t answer any hand.
rel_clause,The rock that Alex saw didn’t answer any hand.
adv_clause,"After the incident, a rock didn’t answer any hand."
complex,"Although it was late, a rock didn’t answer any hand."
simple,A eye didn’t avoid any country.
rel_clause,The eye that Alex saw didn’t avoid any country.
adv_clause,"After the incident, a eye didn’t avoid any country."
complex,"Although it was late, a eye didn’t avoid any country."
simple,A arm didn’t oppose any thing.
rel_clause,The arm that Alex saw didn’t oppose any thing.
adv_clause,"After the incident, a arm didn’t oppose any thing."
complex,"Although it was late, a arm didn’t oppose any thing."
simple,A band didn’t ask any state.
rel_clause,The band that David saw didn’t ask any state.
adv_clause,"After the incident, a band didn’t ask any state."
complex,"Although it was late, a band didn’t ask any state."
simple,A line didn’t create any arm.
rel_clause,The line that Mary saw didn’t create any arm.
adv_clause,"After the incident, a line didn’t create any arm."
complex,"Although it was late, a line didn’t create any arm."
simple,A force didn’t develop any team.
rel_clause,The force that Alex saw didn’t develop any team.
adv_clause,"After the incident, a force didn’t develop any team."
complex,"Although it was late, a force didn’t develop any team."
simple,A version didn’t face any fire.
rel_clause,The version that Alex saw didn’t face any fire.
adv_clause,"After the incident, a version didn’t face any fire."
complex,"Although it was late, a version didn’t face any fire."
simple,A school didn’t acquire any church.
rel_clause,The school that Sarah saw didn’t acquire any church.
adv_clause,"After the incident, a school didn’t acquire any church."
complex,"Although it was late, a school didn’t acquire any church."
simple,A thing didn’t draw any girl.
rel_clause,The thing that David saw didn’t draw any girl.
adv_clause,"After the incident, a thing didn’t draw any girl."
complex,"Although it was late, a thing didn’t draw any girl."
simple,A wife didn’t purchase any union.
rel_clause,The wife that Mary saw didn’t purchase any union.
adv_clause,"After the incident, a wife didn’t purchase any union."
complex,"Although it was late, a wife didn’t purchase any union."
simple,A election didn’t join any band.
rel_clause,The election that Alex saw didn’t join any band.
adv_clause,"After the incident, a election didn’t join any band."
complex,"Although it was late, a election didn’t join any band."
simple,A hand didn’t adopt any land.
rel_clause,The hand that John saw didn’t adopt any land.
adv_clause,"After the incident, a hand didn’t adopt any land."
complex,"Although it was late, a hand didn’t adopt any land."
simple,A championship didn’t visit any grind.
rel_clause,The championship that Alex saw didn’t visit any grind.
adv_clause,"After the incident, a championship didn’t visit any grind."
complex,"Although it was late, a championship didn’t visit any grind."
simple,A title didn’t finish any university.
rel_clause,The title that David saw didn’t finish any university.
adv_clause,"After the incident, a title didn’t finish any university."
complex,"Although it was late, a title didn’t finish any university."
simple,A service didn’t set any office.
rel_clause,The service that Sarah saw didn’t set any office.
adv_clause,"After the incident, a service didn’t set any office."
complex,"Although it was late, a service didn’t set any office."
simple,A court didn’t own any day.
rel_clause,The court that Alex saw didn’t own any day.
adv_clause,"After the incident, a court didn’t own any day."
complex,"Although it was late, a court didn’t own any day."
simple,A period didn’t present any office.
rel_clause,The period that John saw didn’t present any office.
adv_clause,"After the incident, a period didn’t present any office."
complex,"Although it was late, a period didn’t present any office."
simple,A war didn’t tell any role.
rel_clause,The war that David saw didn’t tell any role.
adv_clause,"After the incident, a war didn’t tell any role."
complex,"Although it was late, a war didn’t tell any role."
simple,A part didn’t launch any name.
rel_clause,The part that Alex saw didn’t launch any name.
adv_clause,"After the incident, a part didn’t launch any name."
complex,"Although it was late, a part didn’t launch any name."
simple,A football didn’t teach any team.
rel_clause,The football that Sarah saw didn’t teach any team.
adv_clause,"After the incident, a football didn’t teach any team."
complex,"Although it was late, a football didn’t teach any team."
simple,A brother didn’t reduce any team.
rel_clause,The brother that Alex saw didn’t reduce any team.
adv_clause,"After the incident, a brother didn’t reduce any team."
complex,"Although it was late, a brother didn’t reduce any team."
simple,A land didn’t create any mind.
rel_clause,The land that Sarah saw didn’t create any mind.
adv_clause,"After the incident, a land didn’t create any mind."
complex,"Although it was late, a land didn’t create any mind."
simple,A law didn’t support any head.
rel_clause,The law that Sarah saw didn’t support any head.
adv_clause,"After the incident, a law didn’t support any head."
complex,"Although it was late, a law didn’t support any head."
simple,A use didn’t take any place.
rel_clause,The use that Mary saw didn’t take any place.
adv_clause,"After the incident, a use didn’t take any place."
complex,"Although it was late, a use didn’t take any place."
simple,A century didn’t study any age.
rel_clause,The century that Mary saw didn’t study any age.
adv_clause,"After the incident, a century didn’t study any age."
complex,"Although it was late, a century didn’t study any age."
simple,A station didn’t complete any age.
rel_clause,The station that Mary saw didn’t complete any age.
adv_clause,"After the incident, a station didn’t complete any age."
complex,"Although it was late, a station didn’t complete any age."
simple,A air didn’t offer any office.
rel_clause,The air that David saw didn’t offer any office.
adv_clause,"After the incident, a air didn’t offer any office."
complex,"Although it was late, a air didn’t offer any office."
simple,A hair didn’t earn any station.
rel_clause,The hair that Sarah saw didn’t earn any station.
adv_clause,"After the incident, a hair didn’t earn any station."
complex,"Although it was late, a hair didn’t earn any station."
simple,A election didn’t control any use.
rel_clause,The election that Sarah saw didn’t control any use.
adv_clause,"After the incident, a election didn’t control any use."
complex,"Although it was late, a election didn’t control any use."
simple,A thing didn’t bring any title.
rel_clause,The thing that David saw didn’t bring any title.
adv_clause,"After the incident, a thing didn’t bring any title."
complex,"Although it was late, a thing didn’t bring any title."
simple,A position didn’t build any road.
rel_clause,The position that John saw didn’t build any road.
adv_clause,"After the incident, a position didn’t build any road."
complex,"Although it was late, a position didn’t build any road."
simple,A family didn’t air any man.
rel_clause,The family that Sarah saw didn’t air any man.
adv_clause,"After the incident, a family didn’t air any man."
complex,"Although it was late, a family didn’t air any man."
simple,A system didn’t complete any land.
rel_clause,The system that Mary saw didn’t complete any land.
adv_clause,"After the incident, a system didn’t complete any land."
complex,"Although it was late, a system didn’t complete any land."
simple,A woman didn’t lift any director.
rel_clause,The woman that Alex saw didn’t lift any director.
adv_clause,"After the incident, a woman didn’t lift any director."
complex,"Although it was late, a woman didn’t lift any director."
simple,A class didn’t control any mother.
rel_clause,The class that John saw didn’t control any mother.
adv_clause,"After the incident, a class didn’t control any mother."
complex,"Although it was late, a class didn’t control any mother."
simple,A word didn’t ask any station.
rel_clause,The word that John saw didn’t ask any station.
adv_clause,"After the incident, a word didn’t ask any station."
complex,"Although it was late, a word didn’t ask any station."
simple,A war didn’t build any community.
rel_clause,The war that Sarah saw didn’t build any community.
adv_clause,"After the incident, a war didn’t build any community."
complex,"Although it was late, a war didn’t build any community."
simple,A room didn’t award any game.
rel_clause,The room that John saw didn’t award any game.
adv_clause,"After the incident, a room didn’t award any game."
complex,"Although it was late, a room didn’t award any game."
simple,A hair didn’t offer any woman.
rel_clause,The hair that Alex saw didn’t offer any woman.
adv_clause,"After the incident, a hair didn’t offer any woman."
complex,"Although it was late, a hair didn’t offer any woman."
simple,A director didn’t issue any game.
rel_clause,The director that John saw didn’t issue any game.
adv_clause,"After the incident, a director didn’t issue any game."
complex,"Although it was late, a director didn’t issue any game."
simple,A state didn’t own any mother.
rel_clause,The state that John saw didn’t own any mother.
adv_clause,"After the incident, a state didn’t own any mother."
complex,"Although it was late, a state didn’t own any mother."
simple,A system didn’t visit any heart.
rel_clause,The system that Mary saw didn’t visit any heart.
adv_clause,"After the incident, a system didn’t visit any heart."
complex,"Although it was late, a system didn’t visit any heart."
simple,A school didn’t mark any university.
rel_clause,The school that Alex saw didn’t mark any university.
adv_clause,"After the incident, a school didn’t mark any university."
complex,"Although it was late, a school didn’t mark any university."
simple,A head didn’t put any band.
rel_clause,The head that Sarah saw didn’t put any band.
adv_clause,"After the incident, a head didn’t put any band."
complex,"Although it was late, a head didn’t put any band."
simple,A record didn’t replace any law.
rel_clause,The record that David saw didn’t replace any law.
adv_clause,"After the incident, a record didn’t replace any law."
complex,"Although it was late, a record didn’t replace any law."
simple,A point didn’t reach any division.
rel_clause,The point that Mary saw didn’t reach any division.
adv_clause,"After the incident, a point didn’t reach any division."
complex,"Although it was late, a point didn’t reach any division."
simple,A girl didn’t mark any line.
rel_clause,The girl that Sarah saw didn’t mark any line.
adv_clause,"After the incident, a girl didn’t mark any line."
complex,"Although it was late, a girl didn’t mark any line."
simple,A board didn’t promote any brother.
rel_clause,The board that Mary saw didn’t promote any brother.
adv_clause,"After the incident, a board didn’t promote any brother."
complex,"Although it was late, a board didn’t promote any brother."
simple,A fire didn’t accept any road.
rel_clause,The fire that David saw didn’t accept any road.
adv_clause,"After the incident, a fire didn’t accept any road."
complex,"Although it was late, a fire didn’t accept any road."
simple,A woman didn’t produce any way.
rel_clause,The woman that Mary saw didn’t produce any way.
adv_clause,"After the incident, a woman didn’t produce any way."
complex,"Although it was late, a woman didn’t produce any way."
simple,A class didn’t share any air.
rel_clause,The class that Alex saw didn’t share any air.
adv_clause,"After the incident, a class didn’t share any air."
complex,"Although it was late, a class didn’t share any air."
simple,A site didn’t put any music.
rel_clause,The site that Alex saw didn’t put any music.
adv_clause,"After the incident, a site didn’t put any music."
complex,"Although it was late, a site didn’t put any music."
simple,A family didn’t acquire any university.
rel_clause,The family that Alex saw didn’t acquire any university.
adv_clause,"After the incident, a family didn’t acquire any university."
complex,"Although it was late, a family didn’t acquire any university."
simple,A side didn’t feature any fire.
rel_clause,The side that Sarah saw didn’t feature any fire.
adv_clause,"After the incident, a side didn’t feature any fire."
complex,"Although it was late, a side didn’t feature any fire."
simple,A air didn’t wear any age.
rel_clause,The air that Mary saw didn’t wear any age.
adv_clause,"After the incident, a air didn’t wear any age."
complex,"Although it was late, a air didn’t wear any age."
simple,A world didn’t lift any championship.
rel_clause,The world that John saw didn’t lift any championship.
adv_clause,"After the incident, a world didn’t lift any championship."
complex,"Although it was late, a world didn’t lift any championship."
simple,A number didn’t represent any side.
rel_clause,The number that David saw didn’t represent any side.
adv_clause,"After the incident, a number didn’t represent any side."
complex,"Although it was late, a number didn’t represent any side."
simple,A arm didn’t join any court.
rel_clause,The arm that Mary saw didn’t join any court.
adv_clause,"After the incident, a arm didn’t join any court."
complex,"Although it was late, a arm didn’t join any court."
simple,A church didn’t sell any program.
rel_clause,The church that Mary saw didn’t sell any program.
adv_clause,"After the incident, a church didn’t sell any program."
complex,"Although it was late, a church didn’t sell any program."
simple,A school didn’t produce any name.
rel_clause,The school that Sarah saw didn’t produce any name.
adv_clause,"After the incident, a school didn’t produce any name."
complex,"Although it was late, a school didn’t produce any name."
simple,A country didn’t form any hand.
rel_clause,The country that Mary saw didn’t form any hand.
adv_clause,"After the incident, a country didn’t form any hand."
complex,"Although it was late, a country didn’t form any hand."
simple,A game didn’t occupy any war.
rel_clause,The game that Sarah saw didn’t occupy any war.
adv_clause,"After the incident, a game didn’t occupy any war."
complex,"Although it was late, a game didn’t occupy any war."
simple,A development didn’t strike any world.
rel_clause,The development that Alex saw didn’t strike any world.
adv_clause,"After the incident, a development didn’t strike any world."
complex,"Although it was late, a development didn’t strike any world."
simple,A road didn’t create any player.
rel_clause,The road that Mary saw didn’t create any player.
adv_clause,"After the incident, a road didn’t create any player."
complex,"Although it was late, a road didn’t create any player."
simple,A fire didn’t create any game.
rel_clause,The fire that Alex saw didn’t create any game.
adv_clause,"After the incident, a fire didn’t create any game."
complex,"Although it was late, a fire didn’t create any game."
simple,A hand didn’t create any mind.
rel_clause,The hand that Alex saw didn’t create any mind.
adv_clause,"After the incident, a hand didn’t create any mind."
complex,"Although it was late, a hand didn’t create any mind."
simple,A life didn’t own any rock.
rel_clause,The life that Alex saw didn’t own any rock.
adv_clause,"After the incident, a life didn’t own any rock."
complex,"Although it was late, a life didn’t own any rock."
simple,A game didn’t issue any site.
rel_clause,The game that John saw didn’t issue any site.
adv_clause,"After the incident, a game didn’t issue any site."
complex,"Although it was late, a game didn’t issue any site."
simple,A version didn’t protect any director.
rel_clause,The version that John saw didn’t protect any director.
adv_clause,"After the incident, a version didn’t protect any director."
complex,"Although it was late, a version didn’t protect any director."
simple,A air didn’t take any country.
rel_clause,The air that Alex saw didn’t take any country.
adv_clause,"After the incident, a air didn’t take any country."
complex,"Although it was late, a air didn’t take any country."
simple,A government didn’t give any society.
rel_clause,The government that David saw didn’t give any society.
adv_clause,"After the incident, a government didn’t give any society."
complex,"Although it was late, a government didn’t give any society."
simple,A road didn’t change any thing.
rel_clause,The road that Alex saw didn’t change any thing.
adv_clause,"After the incident, a road didn’t change any thing."
complex,"Although it was late, a road didn’t change any thing."
simple,A community didn’t issue any office.
rel_clause,The community that John saw didn’t issue any office.
adv_clause,"After the incident, a community didn’t issue any office."
complex,"Although it was late, a community didn’t issue any office."
simple,A city didn’t join any light.
rel_clause,The city that Mary saw didn’t join any light.
adv_clause,"After the incident, a city didn’t join any light."
complex,"Although it was late, a city didn’t join any light."
simple,A eye didn’t replace any student.
rel_clause,The eye that Sarah saw didn’t replace any student.
adv_clause,"After the incident, a eye didn’t replace any student."
complex,"Although it was late, a eye didn’t replace any student."
simple,A director didn’t reach any use.
rel_clause,The director that John saw didn’t reach any use.
adv_clause,"After the incident, a director didn’t reach any use."
complex,"Although it was late, a director didn’t reach any use."
simple,A development didn’t gain any team.
rel_clause,The development that John saw didn’t gain any team.
adv_clause,"After the incident, a development didn’t gain any team."
complex,"Although it was late, a development didn’t gain any team."
simple,A production didn’t join any system.
rel_clause,The production that John saw didn’t join any system.
adv_clause,"After the incident, a production didn’t join any system."
complex,"Although it was late, a production didn’t join any system."
simple,A music didn’t kill any thing.
rel_clause,The music that John saw didn’t kill any thing.
adv_clause,"After the incident, a music didn’t kill any thing."
complex,"Although it was late, a music didn’t kill any thing."
simple,A word didn’t accept any union.
rel_clause,The word that David saw didn’t accept any union.
adv_clause,"After the incident, a word didn’t accept any union."
complex,"Although it was late, a word didn’t accept any union."
simple,A arm didn’t represent any role.
rel_clause,The arm that Sarah saw didn’t represent any role.
adv_clause,"After the incident, a arm didn’t represent any role."
complex,"Although it was late, a arm didn’t represent any role."
simple,A home didn’t defeat any member.
rel_clause,The home that Sarah saw didn’t defeat any member.
adv_clause,"After the incident, a home didn’t defeat any member."
complex,"Although it was late, a home didn’t defeat any member."
simple,A face didn’t put any use.
rel_clause,The face that Mary saw didn’t put any use.
adv_clause,"After the incident, a face didn’t put any use."
complex,"Although it was late, a face didn’t put any use."
simple,A power didn’t tell any light.
rel_clause,The power that Mary saw didn’t tell any light.
adv_clause,"After the incident, a power didn’t tell any light."
complex,"Although it was late, a power didn’t tell any light."
simple,A production didn’t finish any word.
rel_clause,The production that John saw didn’t finish any word.
adv_clause,"After the incident, a production didn’t finish any word."
complex,"Although it was late, a production didn’t finish any word."
simple,A word didn’t destroy any hair.
rel_clause,The word that David saw didn’t destroy any hair.
adv_clause,"After the incident, a word didn’t destroy any hair."
complex,"Although it was late, a word didn’t destroy any hair."
simple,A life didn’t grant any station.
rel_clause,The life that Mary saw didn’t grant any station.
adv_clause,"After the incident, a life didn’t grant any station."
complex,"Although it was late, a life didn’t grant any station."
simple,A period didn’t defeat any football.
rel_clause,The period that Sarah saw didn’t defeat any football.
adv_clause,"After the incident, a period didn’t defeat any football."
complex,"Although it was late, a period didn’t defeat any football."
simple,A number didn’t present any football.
rel_clause,The number that Alex saw didn’t present any football.
adv_clause,"After the incident, a number didn’t present any football."
complex,"Although it was late, a number didn’t present any football."
simple,A home didn’t prevent any grind.
rel_clause,The home that David saw didn’t prevent any grind.
adv_clause,"After the incident, a home didn’t prevent any grind."
complex,"Although it was late, a home didn’t prevent any grind."
simple,A light didn’t bring any rock.
rel_clause,The light that Mary saw didn’t bring any rock.
adv_clause,"After the incident, a light didn’t bring any rock."
complex,"Although it was late, a light didn’t bring any rock."
simple,A career didn’t produce any school.
rel_clause,The career that Mary saw didn’t produce any school.
adv_clause,"After the incident, a career didn’t produce any school."
complex,"Although it was late, a career didn’t produce any school."
simple,A name didn’t drive any production.
rel_clause,The name that Alex saw didn’t drive any production.
adv_clause,"After the incident, a name didn’t drive any production."
complex,"Although it was late, a name didn’t drive any production."
simple,A fire didn’t study any air.
rel_clause,The fire that David saw didn’t study any air.
adv_clause,"After the incident, a fire didn’t study any air."
complex,"Although it was late, a fire didn’t study any air."
simple,A man didn’t gain any level.
rel_clause,The man that John saw didn’t gain any level.
adv_clause,"After the incident, a man didn’t gain any level."
complex,"Although it was late, a man didn’t gain any level."
simple,A role didn’t award any home.
rel_clause,The role that John saw didn’t award any home.
adv_clause,"After the incident, a role didn’t award any home."
complex,"Although it was late, a role didn’t award any home."
simple,A wife didn’t promote any state.
rel_clause,The wife that Mary saw didn’t promote any state.
adv_clause,"After the incident, a wife didn’t promote any state."
complex,"Although it was late, a wife didn’t promote any state."
simple,A role didn’t create any face.
rel_clause,The role that John saw didn’t create any face.
adv_clause,"After the incident, a role didn’t create any face."
complex,"Although it was late, a role didn’t create any face."
simple,A force didn’t put any hair.
rel_clause,The force that David saw didn’t put any hair.
adv_clause,"After the incident, a force didn’t put any hair."
complex,"Although it was late, a force didn’t put any hair."
simple,A fire didn’t develop any government.
rel_clause,The fire that Mary saw didn’t develop any government.
adv_clause,"After the incident, a fire didn’t develop any government."
complex,"Although it was late, a fire didn’t develop any government."
simple,A career didn’t shake any mind.
rel_clause,The career that Sarah saw didn’t shake any mind.
adv_clause,"After the incident, a career didn’t shake any mind."
complex,"Although it was late, a career didn’t shake any mind."
simple,A station didn’t handle any region.
rel_clause,The station that Sarah saw didn’t handle any region.
adv_clause,"After the incident, a station didn’t handle any region."
complex,"Although it was late, a station didn’t handle any region."
simple,A family didn’t own any board.
rel_clause,The family that Mary saw didn’t own any board.
adv_clause,"After the incident, a family didn’t own any board."
complex,"Although it was late, a family didn’t own any board."
simple,A government didn’t mark any hair.
rel_clause,The government that Alex saw didn’t mark any hair.
adv_clause,"After the incident, a government didn’t mark any hair."
complex,"Although it was late, a government didn’t mark any hair."
simple,A position didn’t cut any record.
rel_clause,The position that John saw didn’t cut any record.
adv_clause,"After the incident, a position didn’t cut any record."
complex,"Although it was late, a position didn’t cut any record."
simple,A power didn’t finish any heart.
rel_clause,The power that Sarah saw didn’t finish any heart.
adv_clause,"After the incident, a power didn’t finish any heart."
complex,"Although it was late, a power didn’t finish any heart."
simple,A mother didn’t sell any year.
rel_clause,The mother that John saw didn’t sell any year.
adv_clause,"After the incident, a mother didn’t sell any year."
complex,"Although it was late, a mother didn’t sell any year."
simple,A level didn’t oppose any land.
rel_clause,The level that Sarah saw didn’t oppose any land.
adv_clause,"After the incident, a level didn’t oppose any land."
complex,"Although it was late, a level didn’t oppose any land."
simple,A point didn’t answer any grind.
rel_clause,The point that David saw didn’t answer any grind.
adv_clause,"After the incident, a point didn’t answer any grind."
complex,"Although it was late, a point didn’t answer any grind."
simple,A class didn’t pull any door.
rel_clause,The class that Mary saw didn’t pull any door.
adv_clause,"After the incident, a class didn’t pull any door."
complex,"Although it was late, a class didn’t pull any door."
simple,A program didn’t include any thing.
rel_clause,The program that Alex saw didn’t include any thing.
adv_clause,"After the incident, a program didn’t include any thing."
complex,"Although it was late, a program didn’t include any thing."
simple,A region didn’t change any mother.
rel_clause,The region that Alex saw didn’t change any mother.
adv_clause,"After the incident, a region didn’t change any mother."
complex,"Although it was late, a region didn’t change any mother."
simple,A site didn’t carry any line.
rel_clause,The site that John saw didn’t carry any line.
adv_clause,"After the incident, a site didn’t carry any line."
complex,"Although it was late, a site didn’t carry any line."
simple,A arm didn’t air any production.
rel_clause,The arm that Sarah saw didn’t air any production.
adv_clause,"After the incident, a arm didn’t air any production."
complex,"Although it was late, a arm didn’t air any production."
simple,A site didn’t gain any story.
rel_clause,The site that Alex saw didn’t gain any story.
adv_clause,"After the incident, a site didn’t gain any story."
complex,"Although it was late, a site didn’t gain any story."
simple,A program didn’t pick any air.
rel_clause,The program that David saw didn’t pick any air.
adv_clause,"After the incident, a program didn’t pick any air."
complex,"Although it was late, a program didn’t pick any air."
simple,A hair didn’t present any heart.
rel_clause,The hair that David saw didn’t present any heart.
adv_clause,"After the incident, a hair didn’t present any heart."
complex,"Although it was late, a hair didn’t present any heart."
simple,A family didn’t offer any air.
rel_clause,The family that Sarah saw didn’t offer any air.
adv_clause,"After the incident, a family didn’t offer any air."
complex,"Although it was late, a family didn’t offer any air."
simple,A death didn’t introduce any production.
rel_clause,The death that Alex saw didn’t introduce any production.
adv_clause,"After the incident, a death didn’t introduce any production."
complex,"Although it was late, a death didn’t introduce any production."
simple,A office didn’t conduct any brother.
rel_clause,The office that Alex saw didn’t conduct any brother.
adv_clause,"After the incident, a office didn’t conduct any brother."
complex,"Although it was late, a office didn’t conduct any brother."
simple,A director didn’t tell any station.
rel_clause,The director that Mary saw didn’t tell any station.
adv_clause,"After the incident, a director didn’t tell any station."
complex,"Although it was late, a director didn’t tell any station."
simple,A day didn’t introduce any home.
rel_clause,The day that David saw didn’t introduce any home.
adv_clause,"After the incident, a day didn’t introduce any home."
complex,"Although it was late, a day didn’t introduce any home."
simple,A board didn’t finish any title.
rel_clause,The board that Mary saw didn’t finish any title.
adv_clause,"After the incident, a board didn’t finish any title."
complex,"Although it was late, a board didn’t finish any title."
simple,A age didn’t build any project.
rel_clause,The age that David saw didn’t build any project.
adv_clause,"After the incident, a age didn’t build any project."
complex,"Although it was late, a age didn’t build any project."
simple,A role didn’t obtain any season.
rel_clause,The role that John saw didn’t obtain any season.
adv_clause,"After the incident, a role didn’t obtain any season."
complex,"Although it was late, a role didn’t obtain any season."
simple,A light didn’t introduce any election.
rel_clause,The light that David saw didn’t introduce any election.
adv_clause,"After the incident, a light didn’t introduce any election."
complex,"Although it was late, a light didn’t introduce any election."
simple,A life didn’t reach any arm.
rel_clause,The life that John saw didn’t reach any arm.
adv_clause,"After the incident, a life didn’t reach any arm."
complex,"Although it was late, a life didn’t reach any arm."
simple,A way didn’t wear any region.
rel_clause,The way that Alex saw didn’t wear any region.
adv_clause,"After the incident, a way didn’t wear any region."
complex,"Although it was late, a way didn’t wear any region."
simple,A community didn’t strike any life.
rel_clause,The community that Alex saw didn’t strike any life.
adv_clause,"After the incident, a community didn’t strike any life."
complex,"Although it was late, a community didn’t strike any life."
simple,A grind didn’t take any band.
rel_clause,The grind that Mary saw didn’t take any band.
adv_clause,"After the incident, a grind didn’t take any band."
complex,"Although it was late, a grind didn’t take any band."
simple,A government didn’t remove any division.
rel_clause,The government that Alex saw didn’t remove any division.
adv_clause,"After the incident, a government didn’t remove any division."
complex,"Although it was late, a government didn’t remove any division."
simple,A place didn’t gain any championship.
rel_clause,The place that Alex saw didn’t gain any championship.
adv_clause,"After the incident, a place didn’t gain any championship."
complex,"Although it was late, a place didn’t gain any championship."
simple,A girl didn’t develop any head.
rel_clause,The girl that Mary saw didn’t develop any head.
adv_clause,"After the incident, a girl didn’t develop any head."
complex,"Although it was late, a girl didn’t develop any head."
simple,A hair didn’t kill any thing.
rel_clause,The hair that Sarah saw didn’t kill any thing.
adv_clause,"After the incident, a hair didn’t kill any thing."
complex,"Although it was late, a hair didn’t kill any thing."
simple,A arm didn’t sell any point.
rel_clause,The arm that Sarah saw didn’t sell any point.
adv_clause,"After the incident, a arm didn’t sell any point."
complex,"Although it was late, a arm didn’t sell any point."
simple,A director didn’t raise any hair.
rel_clause,The director that Sarah saw didn’t raise any hair.
adv_clause,"After the incident, a director didn’t raise any hair."
complex,"Although it was late, a director didn’t raise any hair."
simple,A mind didn’t shape any woman.
rel_clause,The mind that David saw didn’t shape any woman.
adv_clause,"After the incident, a mind didn’t shape any woman."
complex,"Although it was late, a mind didn’t shape any woman."
simple,A record didn’t mark any woman.
rel_clause,The record that Sarah saw didn’t mark any woman.
adv_clause,"After the incident, a record didn’t mark any woman."
complex,"Although it was late, a record didn’t mark any woman."
simple,A role didn’t mark any hair.
rel_clause,The role that Alex saw didn’t mark any hair.
adv_clause,"After the incident, a role didn’t mark any hair."
complex,"Although it was late, a role didn’t mark any hair."
simple,A board didn’t prevent any wife.
rel_clause,The board that David saw didn’t prevent any wife.
adv_clause,"After the incident, a board didn’t prevent any wife."
complex,"Although it was late, a board didn’t prevent any wife."
simple,A community didn’t take any government.
rel_clause,The community that Mary saw didn’t take any government.
adv_clause,"After the incident, a community didn’t take any government."
complex,"Although it was late, a community didn’t take any government."
simple,A production didn’t paint any site.
rel_clause,The production that Mary saw didn’t paint any site.
adv_clause,"After the incident, a production didn’t paint any site."
complex,"Although it was late, a production didn’t paint any site."
simple,A year didn’t produce any class.
rel_clause,The year that John saw didn’t produce any class.
adv_clause,"After the incident, a year didn’t produce any class."
complex,"Although it was late, a year didn’t produce any class."
simple,A summer didn’t fix any band.
rel_clause,The summer that Alex saw didn’t fix any band.
adv_clause,"After the incident, a summer didn’t fix any band."
complex,"Although it was late, a summer didn’t fix any band."
simple,A thing didn’t handle any project.
rel_clause,The thing that Alex saw didn’t handle any project.
adv_clause,"After the incident, a thing didn’t handle any project."
complex,"Although it was late, a thing didn’t handle any project."
simple,A board didn’t present any church.
rel_clause,The board that David saw didn’t present any church.
adv_clause,"After the incident, a board didn’t present any church."
complex,"Although it was late, a board didn’t present any church."
simple,A use didn’t cut any point.
rel_clause,The use that Sarah saw didn’t cut any point.
adv_clause,"After the incident, a use didn’t cut any point."
complex,"Although it was late, a use didn’t cut any point."
simple,A day didn’t provide any development.
rel_clause,The day that John saw didn’t provide any development.
adv_clause,"After the incident, a day didn’t provide any development."
complex,"Although it was late, a day didn’t provide any development."
simple,A eye didn’t launch any society.
